TABLE_NAME,COLUMN_NAME,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,IS_NULLABLE,COLUMN_DEFAULT
Alarme_Evenimente,ID_Alarma,int,,NO,
Alarme_Evenimente,ID_Senzor,int,,YES,
Alarme_Evenimente,ID_Pacient,int,,YES,
Alarme_Evenimente,Tip_Alarma,nvarchar,20,YES,
Alarme_Evenimente,Mesaj,nvarchar,-1,YES,
Alarme_Evenimente,Data_Declansare,datetime,,YES,(getdate())
Alarme_Evenimente,Data_Rezolvare,datetime,,YES,
Alarme_Evenimente,ID_Supraveghetor,int,,YES,
Alarme_Evenimente,Observatii_Rezolvare,nvarchar,-1,YES,
Alarme_Evenimente,Status_Rezolvat,bit,,YES,((0))
Consultatii,ID_Consultatie,int,,NO,
Consultatii,ID_Pacient,int,,YES,
Consultatii,ID_Medic,int,,YES,
Consultatii,Data_Consultatie,datetime,,YES,(getdate())
Consultatii,Motiv_Prezentare,nvarchar,-1,YES,
Consultatii,Simptome,nvarchar,-1,YES,
Consultatii,Diagnostic_Cod_ICD9,nvarchar,10,YES,
Consultatii,Observatii,nvarchar,-1,YES,
Dispozitive_ESP32,ID_Dispozitiv,int,,NO,
Dispozitive_ESP32,ID_Pacient,int,,YES,
Dispozitive_ESP32,MAC_Address_BT,nvarchar,17,YES,
Dispozitive_ESP32,Data_Instalare,date,,YES,
Dispozitive_ESP32,Versiune_Firmware,nvarchar,20,YES,
Log_Audit,ID_Log,int,,NO,
Log_Audit,ID_Utilizator,int,,YES,
Log_Audit,Actiune,nvarchar,100,YES,
Log_Audit,Tabela_Afectata,nvarchar,50,YES,
Log_Audit,Data_Ora,datetime,,YES,(getdate())
Log_Audit,IP_Sursa,nvarchar,45,YES,
Masuratori_Senzori,ID_Masuratoare,bigint,,NO,
Masuratori_Senzori,ID_Senzor,int,,YES,
Masuratori_Senzori,Valoare,decimal,,YES,
Masuratori_Senzori,Data_Ora,datetimeoffset,,YES,(sysdatetimeoffset())
Mesaje_HL7_Audit,ID_Mesaj,int,,NO,
Mesaje_HL7_Audit,ID_Pacient,int,,YES,
Mesaje_HL7_Audit,Directie,nvarchar,10,YES,
Mesaje_HL7_Audit,Continut_XML_HL7,xml,-1,YES,
Mesaje_HL7_Audit,Data_Transfer,datetime,,YES,(getdate())
Pacienti,ID_Pacient,int,,NO,
Pacienti,ID_Utilizator,int,,YES,
Pacienti,CNP,char,13,NO,
Pacienti,Varsta,int,,YES,
Pacienti,Adresa_Strada,nvarchar,100,YES,
Pacienti,Adresa_Oras,nvarchar,50,YES,
Pacienti,Adresa_Judet,nvarchar,50,YES,
Pacienti,Profesie,nvarchar,50,YES,
Pacienti,Loc_Munca,nvarchar,50,YES,
Recomandari,ID_Recomandare,int,,NO,
Recomandari,ID_Pacient,int,,YES,
Recomandari,ID_Medic,int,,YES,
Recomandari,Tip_Activitate,nvarchar,50,YES,
Recomandari,Durata_Zilnica_Minute,int,,YES,
Recomandari,Descriere,nvarchar,-1,YES,
Recomandari,Data_Start,date,,YES,
Recomandari,Data_Stop,date,,YES,
Roluri,ID_Rol,int,,NO,
Roluri,Nume_Rol,nvarchar,50,NO,
Senzori_Configurare,ID_Senzor,int,,NO,
Senzori_Configurare,ID_Dispozitiv,int,,YES,
Senzori_Configurare,Nr_Ordine,int,,YES,
Senzori_Configurare,Tip_Senzor,nvarchar,50,YES,
Senzori_Configurare,Unitate_Masura,nvarchar,10,YES,
Senzori_Configurare,Perioada_Esantionare_Sec,int,,YES,((600))
Senzori_Configurare,Factor_Scala,decimal,,YES,
Senzori_Configurare,Prag_Alarm_Inf,decimal,,YES,
Senzori_Configurare,Prag_Atentionare_Inf,decimal,,YES,
Senzori_Configurare,Prag_Atentionare_Sup,decimal,,YES,
Senzori_Configurare,Prag_Alarm_Sup,decimal,,YES,
Senzori_Configurare,Activ,bit,,YES,((1))
Utilizatori,ID_Utilizator,int,,NO,
Utilizatori,Email,nvarchar,100,NO,
Utilizatori,Parola_Hash,nvarchar,-1,NO,
Utilizatori,Nume,nvarchar,50,YES,
Utilizatori,Prenume,nvarchar,50,YES,
Utilizatori,Telefon,nvarchar,20,YES,
Utilizatori,Data_Creare,datetimeoffset,,YES,(sysdatetimeoffset())
Utilizatori,Activ,bit,,YES,((1))
Utilizatori_Roluri,ID_Utilizator,int,,NO,
Utilizatori_Roluri,ID_Rol,int,,NO,